"genenames","CHASM","DawnRank","EntroRank","Intdriver","MA","MCGfinder","MaxMIF_HumanNet","MaxMIF_Influencegraph","MaxMIF_STRINGv10","Muf_max_HumanNet","Muf_max_STRINGv10","Muf_max_influencegraph","Muf_sum_HumanNet","Muf_sum_STRINGv10","Muf_sum_influencegraph","Music","NMTF","OncodriveClust","OncodriveFM","SIFT","Subdyquency","Unicovex_PPR","Unicovex_influnecegraph","activedriver","dendrix_frequency","dendrix_weight","diffusion","dndscv","dotsfinder","drivernet","polyphen-2","ncg_6","cgc","ccgs"
"ABLIM1",988,0,1514,0,445,0,991,457,9128,2557,12299,2633,1477,3930,2780,7817,0,0,0,11120,0,1111,949,1101,0,0,0,15414,2710,0,9108,"N","N","N"
"MAP6",6446,0,0,0,20962,0,5612,718,5511,7799,13842,10731,6913,6739,5781,2193,0,0,0,6018,0,1355,0,1102,0,0,0,17321,5470,0,6057,"N","N","N"
"ADAMTS20",240,0,2581,0,33,0,3223,562,4980,2948,7512,4967,3592,2372,3083,929,107,2507,0,10554,0,0,0,0,0,0,0,5457,456,0,0,"N","N","Y"
"SPTB",1197,0,179,0,1705,0,318,106,743,665,5703,1253,491,332,496,1349,0,839,0,0,148,178,145,1103,0,0,556,4476,190,0,0,"N","N","Y"
"PIEZO1",1901,0,0,0,0,0,3273,389,2135,4164,7670,9505,2931,2279,3569,8880,0,0,0,6832,0,0,0,1104,0,0,0,12623,6405,0,6840,"N","N","N"
"SOX15",7700,0,5797,0,0,0,3878,1065,2541,10430,3757,2998,4552,7279,7458,2295,0,0,0,4922,976,4975,2199,1105,0,0,0,8014,10564,0,4431,"N","N","N"
"WIZ",6608,0,2582,0,30079,0,8495,275,1472,6376,3507,8703,4199,1426,3357,390,0,2588,0,726,0,916,630,1056,0,0,0,10240,2350,0,0,"N","N","N"
"ZNF574",8198,0,0,0,6952,0,2109,728,2120,5536,4905,10746,4734,4274,5792,2028,0,1001,4556,8231,0,0,0,1106,0,0,0,7814,2960,0,7459,"N","N","N"
"OTOR",8018,0,0,0,0,0,8626,1069,7403,14003,12904,14206,12096,9992,11000,3977,0,0,0,3779,0,0,0,0,0,0,0,11170,12016,0,8614,"N","N","N"
"AGAP3",6484,0,0,0,7309,0,159,598,3179,362,9398,11113,4277,4500,5978,3885,0,1585,0,237,0,0,0,1107,0,0,0,1814,1120,0,0,"N","N","N"
"P2RY10",2622,0,5307,0,14736,0,964,1068,73,10682,5265,9228,8213,7826,7411,5672,0,0,0,762,1488,0,0,0,0,0,0,13442,6442,0,1983,"N","N","N"
"MYB",632,0,158,0,4259,334,461,60,12,791,6,10,253,50,216,86,0,1822,0,11481,154,89,74,2265,0,0,678,22,156,0,0,"Y","N","Y"
"STEAP1B",9719,0,0,0,0,0,8568,676,4727,0,12981,0,0,16305,0,1189,0,0,0,11530,0,0,0,0,0,0,0,647,3213,0,0,"N","N","N"
"KIRREL",3849,0,778,0,3390,0,2043,943,2025,11969,0,0,15333,0,0,5234,0,0,0,0,552,561,421,1108,0,0,0,3251,1171,0,0,"N","N","N"
"DCAF8",0,0,2403,0,17084,0,5138,1794,9261,7505,13839,9041,6745,6736,4238,9991,0,0,0,0,0,1746,1295,0,0,0,408,14992,13202,0,0,"N","N","N"
"SLC44A3",10054,0,4255,0,12607,0,8934,3074,6241,9637,10674,7924,7241,3540,5362,11571,0,0,3021,6448,0,2220,1780,0,0,0,0,16730,7650,0,6052,"Y","N","N"
"ANK3",1012,0,154,89,1771,239,774,774,451,726,2191,1247,283,77,418,1453,0,1467,831,5092,178,151,137,45,0,0,570,686,62,179,3459,"Y","N","Y"
"SIDT2",2188,0,0,0,5521,0,5559,2758,7241,4328,9196,9332,2063,2901,3524,3673,0,214,1901,4581,0,0,0,1109,0,0,0,6553,2408,0,5760,"N","N","N"
"ZFP91",538,0,0,0,3093,0,6761,3783,3946,10696,5098,12149,7635,4294,9331,4869,0,0,0,9195,0,3205,0,1110,0,0,0,11862,5626,0,7391,"Y","N","N"
"HECTD4",2722,0,0,0,0,0,4354,647,3118,0,0,0,0,0,0,1027,0,0,0,6059,0,0,0,0,0,0,0,1407,112,0,0,"N","N","Y"
"ZNF740",8019,0,2583,0,14445,0,9047,3781,3944,13557,5139,11390,11646,7144,8569,2867,0,0,0,537,0,0,0,1111,0,0,0,11582,11788,0,5742,"N","N","N"
"WDR72",2935,0,0,0,11721,0,5847,142,3242,1338,7250,4161,616,477,708,96,0,978,73,198,0,0,0,1112,10,13,0,2621,461,0,9405,"N","N","Y"
"PKD1",7421,0,1268,0,9476,0,157,675,128,563,508,3629,271,904,2656,5368,0,0,421,759,0,1319,951,4218,0,0,0,5103,2473,0,3355,"N","N","Y"
"EIF3G",4080,0,650,0,16952,0,507,1169,2321,2136,4800,4686,2144,2385,2716,10100,0,0,2302,677,750,1197,840,162,0,0,0,17317,10049,0,6027,"N","N","N"
"KLK15",5780,0,0,0,2007,0,8948,3139,3661,9548,14012,10515,7150,6907,5671,1122,0,510,3211,10423,0,2007,0,0,0,0,0,2575,3265,0,1651,"N","N","N"
"ZNF544",6215,0,0,0,5993,0,4948,1175,9204,2191,4563,6045,1392,681,1405,336,0,827,2651,6387,0,337,0,1113,0,0,0,3342,826,0,8857,"N","N","N"
"LRP2",491,0,40,121,13,26,99,43,483,511,2095,1150,21,31,84,146,110,2423,4333,10727,33,20,19,1114,0,0,691,514,29,105,652,"N","N","Y"
"CSTL1",11249,0,0,0,18384,0,6622,3169,9393,7340,13974,10146,6354,6870,5477,14003,0,0,0,745,0,0,0,0,0,0,0,12913,12918,0,0,"N","N","N"
"FAM182B",9589,0,0,0,0,0,9054,3814,9453,0,0,0,0,0,0,2986,0,0,0,0,0,0,0,0,0,0,0,4877,0,0,0,"N","N","N"
