genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
CELSR2,530,26,129,0,4781,140,1665,135,1283,760,4655,525,264,203,218,367,0,467,2476,0,719,53,73,65,3320,0,0,8,178,103,43,7052,N,N,N
SPAG17,0,0,0,0,11757,0,4374,639,3222,2706,5320,6714,1783,969,1707,7295,0,2765,4063,0,6802,0,0,0,0,0,0,0,5601,505,0,5295,N,N,Y
VPS13D,0,0,0,0,6352,109,1049,270,11762,1064,5137,5012,772,417,984,7245,0,1635,0,0,0,0,179,0,1116,0,0,0,1846,130,0,4529,N,N,N
NOTCH2NL,0,0,5819,0,1823,0,5378,9628,10122,4231,0,0,11970,0,0,6465,0,0,0,0,0,0,4613,4728,0,0,0,0,12386,10967,0,0,N,N,N
BCL9,0,0,571,0,15366,0,1987,208,1443,2468,2906,1540,1105,840,1203,7380,0,2486,7284,0,8110,445,384,280,1233,0,0,824,3614,1189,0,66,N,N,Y
ECM1,0,0,5880,0,13530,0,3053,3460,3490,5534,3268,4223,6033,3713,4365,7714,0,720,7222,0,8142,0,1884,1657,0,0,0,0,2543,2669,0,955,N,N,N
SETDB1,0,0,176,0,1294,0,1822,1017,90,1590,443,3098,1087,594,34,7587,0,1425,6830,0,6259,229,438,409,736,0,0,45,7616,1270,0,9299,Y,N,N
DCST2,0,0,0,0,17358,0,6995,4058,10870,5717,10169,10899,4514,5906,5217,5993,0,0,3182,0,12385,0,0,0,0,0,0,0,6850,4963,0,4502,N,N,N
OR10X1,0,0,2729,0,24789,0,11967,6078,12330,11098,12410,7303,8837,8356,6453,914,0,2604,0,0,0,1639,0,0,0,0,0,0,1186,3123,0,3215,N,N,N
TOR1AIP2,0,0,3996,0,6307,0,12179,7615,7955,13509,9651,9090,11602,6977,8322,12734,0,0,3880,0,757,0,3729,3085,6878,0,0,0,19143,11542,0,1379,N,N,N
XPR1,0,0,3315,0,1382,0,1505,2458,4759,3653,7204,6481,3964,2423,3520,7086,0,1367,5870,0,9712,0,0,0,1234,0,0,0,3800,1993,0,9642,N,N,N
ZBTB41,0,0,0,0,5968,0,11777,4518,6655,6863,9353,9403,4744,1960,3748,9770,0,0,7057,0,7083,0,0,0,1235,1335,518,0,7910,3060,0,8650,N,N,Y
FMN2,0,0,0,0,3528,64,345,128,1461,521,2374,2733,160,106,331,57,143,132,5685,0,9296,0,0,0,234,0,0,0,2083,71,0,6172,N,N,Y
AKT3,0,0,91,0,14635,0,180,754,358,471,11793,696,1008,3228,561,1768,0,2496,7805,0,11407,370,727,503,1236,0,0,379,6650,3113,95,2103,N,N,Y
SZT2,0,0,0,0,0,0,1458,826,2914,1601,7545,6699,1794,1195,1705,1131,0,0,0,0,11122,0,0,0,769,0,0,0,2927,433,0,0,N,N,Y
BEND5,0,0,3489,0,23692,0,9726,5861,10981,12305,15577,9997,10084,11687,7703,10095,0,0,3492,0,743,0,3395,2596,0,0,0,0,19504,12900,0,8670,N,N,N
DIO1,0,0,0,0,35159,0,12507,9646,11258,15729,13311,15122,14590,12759,13492,10675,0,0,0,0,675,0,0,0,0,0,0,0,13656,8905,0,0,N,N,N
LPHN2,0,0,0,0,3640,0,13204,13123,13204,14383,8915,0,16276,9330,0,7534,127,0,0,0,0,0,0,0,1237,0,0,0,5054,1289,0,0,N,N,N
SLC2A7,0,0,0,0,34345,0,7968,6885,4933,10527,10747,13357,6848,5781,9937,12383,0,0,702,0,235,0,0,0,0,0,0,0,18416,12345,0,4227,N,N,N
ARHGAP29,0,0,1514,0,15553,0,4007,5593,3715,3742,13733,4287,5168,6411,4458,7955,0,784,4482,0,4588,0,1361,1490,1012,0,0,0,8185,3624,0,6340,N,N,Y
TIAL1,0,0,3052,0,26870,0,5735,6612,3482,6284,15561,5939,9026,11671,8071,4772,0,0,0,0,8222,1849,0,0,1238,0,0,0,981,3704,0,0,N,N,N
LRRC27,0,0,0,0,31642,0,12235,7946,10586,13559,15675,12869,11652,11785,9564,9138,0,0,324,0,386,0,0,0,0,0,0,0,5378,5579,0,10755,N,N,N
KIF5B,0,0,7707,0,391,0,3963,6736,4118,4153,4237,4188,870,2321,3922,8178,0,581,166,0,111,0,4518,2321,1239,1294,1608,0,1719,3249,0,10377,N,N,Y
PTEN,0,0,906,0,1633,0,43,3503,177,42,13642,74,624,6320,1314,2890,0,0,2444,0,12374,550,1435,1269,5468,0,0,810,399,1640,0,725,Y,N,Y
PAX6,0,0,8132,0,4144,0,2433,6421,12358,5108,15687,2298,1404,11797,2028,9292,0,0,2797,0,685,610,4111,3042,6260,0,0,284,13370,7169,0,496,N,N,Y
PKP3,230,0,2748,0,20495,0,3677,4870,4082,4524,4565,1182,3140,2159,1998,6145,0,3227,70,0,88,576,1325,1493,528,0,0,0,1453,2067,0,2561,N,N,N
OR4C46,0,228,1575,0,81,0,11413,2037,2038,5354,5709,5574,3463,1305,2722,609,0,3315,1354,0,731,767,0,0,0,0,0,0,15739,2251,0,5067,N,N,N
OR51B2,0,0,1576,0,2931,0,3865,1778,11899,3635,5697,5471,2821,1320,2720,314,0,537,0,0,0,768,0,0,0,0,0,0,3601,1755,0,7820,N,N,N
RTN4RL2,0,0,5473,0,1656,0,8530,8463,8982,9839,15688,9413,7566,11798,8652,3491,0,0,4713,0,8952,0,0,0,1240,0,0,0,4379,4500,0,7421,N,N,N
OR56A3,0,0,7358,0,18793,0,12503,9624,5791,15686,7766,9475,14546,7337,11787,3908,0,4992,1401,0,704,0,0,0,6673,0,0,0,17916,8553,0,10664,N,N,N
KDM2A,0,0,3997,0,23106,0,4242,6737,7057,5421,6217,11660,2221,2562,6995,11287,0,0,4912,0,654,0,2286,1594,7053,0,0,0,9091,10878,0,9669,N,N,Y
ANO1,0,0,2946,0,13488,0,5712,1823,2549,3136,2798,3394,2400,1128,2066,5872,0,1030,728,0,690,0,0,0,3412,0,0,0,8076,2157,0,2359,N,N,N
STARD10,0,0,6997,0,8882,0,7917,9608,11252,11890,13274,9192,8064,12875,3496,12531,0,0,0,0,8588,0,0,0,1241,0,0,0,16178,10387,0,5996,N,N,N
KDM4E,0,0,0,0,0,0,12265,8135,8671,13514,10579,12541,11607,5234,9314,1486,0,0,0,0,10223,0,0,0,0,1654,1614,0,8083,7722,0,9055,N,N,N
GNPTAB,0,0,0,0,8258,0,361,4017,5528,489,5611,11190,4243,5018,6726,954,0,2272,6375,0,7371,0,2229,0,642,0,0,0,4935,1291,0,6910,Y,N,N
DRAM1,0,0,0,0,35173,0,9317,9644,2605,12255,1298,14825,10888,11068,13217,15156,0,0,0,0,659,0,6230,0,0,586,694,0,10557,13766,0,0,N,N,Y
RAD9B,0,0,6726,0,35174,0,4984,9618,6565,5478,7454,296,13084,9830,7746,20552,0,0,0,0,708,0,0,0,0,0,0,0,5717,13177,0,0,N,N,Y
SFSWAP,0,0,3634,0,0,0,5132,2408,5774,5018,7435,6694,4179,2420,3600,7590,0,1174,0,0,9789,0,0,0,1242,0,0,0,2705,2167,0,819,N,N,N
SLC6A12,0,0,3792,0,9983,0,7313,5598,8748,10046,12080,11642,5576,6233,8091,9548,0,4934,3589,0,754,0,3184,3053,0,0,0,0,6214,7920,0,6183,N,N,N
MLL2,0,0,0,0,1393,6,12060,6808,12401,702,1776,2870,2806,3980,10779,8,39,0,0,23,0,0,10,0,649,0,0,0,0,10,0,0,N,N,N
PRPF40B,0,0,1103,0,7449,625,1045,2401,2900,0,0,0,0,0,0,7843,0,453,2908,0,9007,0,0,0,1243,0,0,0,11361,3238,0,3930,N,N,N
CHD4,0,0,279,0,6273,0,1128,2878,2136,1450,2227,687,674,755,376,3934,0,3577,0,0,0,612,736,534,39,0,0,290,544,826,167,3527,Y,N,N
FAM90A1,0,0,0,0,21811,0,11102,1377,5112,8494,13694,10650,6417,6372,5129,4085,0,0,301,0,481,0,1654,0,0,0,0,0,11619,4554,0,2402,N,N,N
