genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
PHGDH,0,0,3961,0,944,0,4318,6650,697,7301,2174,9760,4079,6154,4273,8871,0,0,1968,0,665,0,4291,3881,4283,578,848,0,8783,7677,0,11619,N,N,Y
TCHHL1,0,0,0,0,24548,0,6279,1156,6137,4851,8315,8310,3475,2574,2981,1108,0,4743,3500,0,8485,0,0,0,1313,0,0,0,15891,1136,0,5336,N,N,N
OR10K2,0,0,1621,0,254,0,12172,1764,1545,4554,3744,4424,3028,860,2384,289,0,503,8992,0,12931,532,0,0,0,0,0,0,598,950,0,1466,N,N,N
SPTA1,299,0,11,70,2956,6,65,11,12252,60,1362,308,22,18,64,9,11,233,0,112,0,10,8,8,105,0,0,898,24,10,0,3013,Y,N,Y
RABGAP1L,0,0,0,0,383,0,5602,1955,5635,4761,7799,9521,3394,2854,4409,7280,0,2340,0,0,0,0,0,0,1288,0,0,0,4617,2110,0,8573,N,N,N
ARHGEF10L,797,0,3114,0,10606,620,7092,1554,4249,7172,6144,8495,5008,2808,4276,7149,0,3841,4916,0,5977,0,871,834,1314,0,0,0,5396,2182,0,6660,N,N,N
FAM5C,0,0,0,0,16444,112,13508,10801,13660,8888,13611,0,12508,16150,0,22,79,0,0,237,0,0,0,0,2213,0,0,0,0,61,0,0,N,N,N
KCNT2,0,0,0,0,6508,0,1522,900,5250,1359,7893,4781,459,1020,1194,80,0,4448,5439,0,10314,0,0,0,1315,0,0,0,113,117,0,8132,N,N,N
HTR6,0,0,8276,0,1211,0,5618,6654,3679,7805,4769,3373,10065,7181,6087,1689,0,3506,5724,0,6800,0,0,0,1316,0,0,0,6451,4274,0,5983,N,N,N
CACNA1S,0,0,295,0,2358,367,572,1576,230,568,755,1529,672,615,1044,7027,0,4182,795,0,667,456,368,299,2214,0,0,769,1111,1397,0,11508,N,N,N
